"Date";"Team";"Player";"Notes"
"1987-06-01";"Celtics";"Kevin McHale";"surgery on foot (date approximate)"
"1987-07-01";"Rockets";"Robert Reid";"surgery on knee (date approximate)"
"1987-07-07";"76ers";"Andrew Toney";"surgery on right ankle to clean out loose debris"
"1987-07-20";"Nuggets";"Bill Hanzlik";"appendectomy (out indefinitely)"
"1987-07-20";"Pistons";"Sidney Green";"minor injuries suffered in car accident"
"1987-08-17";"Clippers";"Lancaster Gordon";"arthroscopic surgery on right knee (out indefinitely)"
"1987-08-18";"Nuggets";"Bill Hanzlik";"surgery on back to repair herniated disc (date approximate)"
"1987-09-28";"Blazers";"Ronnie Murphy";"toe injury (out indefinitely)"
"1987-10-01";"Spurs";"Mike Mitchell";"arthroscopic surgery on knee (date approximate)"
"1987-10-02";"Blazers";"Jim Paxson Jr.";"surgery on toe (out indefinitely)"
"1987-10-13";"Lakers";"Michael Cooper";"throat ailment (DTD)"
"1987-10-13";"Suns";"Kenny Gattison";"ligament damage and torn cartilage in left knee (out for season)"
"1987-10-20";"Nets";"Keith Lee";"bone bruise in left leg (out 4-6 weeks)"
"1987-10-21";"Blazers";"Sam Bowie";"broken bone in right leg (out indefinitely)"
"1987-10-21";"Warriors";"Larry Smith";"pulled thigh muscle (out 2+ weeks)"
"1987-10-26";"Cavaliers";"Kent Benson";"hyperextended elbow (out 3-5 weeks)"
"1987-10-26";"Suns";"Larry Nance";"fractured ring finger on right hand (out ~4 weeks)"
"1987-11-04";"Bullets";"Manute Bol";"strained & bruised left knee (DTD)"
"1987-11-04";"Nets";"Tony Brown";"surgery on right foot (out for season)"
"1987-11-08";"Cavaliers";"Ron Harper";"broken foot (out 3-4 weeks)"
"1987-11-12";"Lakers";"Jeff Lamp";"shoulder injury (out indefinitely)"
"1987-11-24";"Lakers";"Jeff Lamp";"surgery on shoulder (out for season)"
"1987-11-29";"76ers";"Roy Hinson";"broken finger (out 2+ weeks)"
"1987-11-29";"76ers";"Tim McCormick";"shoulder injury (out 2+ weeks)"
"1987-11-30";"Nets";"Orlando Woolridge";"stress fracture in foot (out indefinitely)"
"1987-12-02";"Bucks";"Larry Krystkowiak";"sprained left ankle (DTD)"
"1987-12-10";"76ers";"Christian Welp";"atrthroscopic surgery on left knee"
"1987-12-13";"Nets";"Buck Williams";"sprained right ankle (out 2-4 weeks)"
"1988-01-05";"Mavericks";"Rolando Blackman";"sprained knee (out ~5 games)"
"1988-01-06";"Nuggets";"Calvin Natt";"hospitalized for phlebitis in left calf"
"1988-01-22";"76ers";"Cliff Robinson";"strained lower back & muscle spasms (DTD)"
"1988-03-02";"Nuggets";"Calvin Natt";"surgery on knee (date approximate)"
"1988-03-21";"Kings";"Reggie Theus";"torn calf muscle (out 10+ days)"
"1988-03-22";"Blazers";"Ronnie Murphy";"stress fracture in right foot (out for season)"
"1988-03-24";"Kings";"Derek Smith";"fractured left eye rim (ouf for season)"
"1988-03-26";"Lakers";"Earvin Johnson / Magic Johnson";"strained right groin muscle (DTD)"
"1988-03-26";"Lakers";"Michael Cooper";"sprained left ankle (DTD)"
"1988-03-29";"Blazers";"Sam Bowie";"surgery on broken right tibia"
"1988-03-29";"Kings";"LaSalle Thompson";"right knee injury (out for season)"
"1988-03-30";"Kings";"Derek Smith";"surgery to repair fractured left eye rim (out for season)"
"1988-04-24";"Cavaliers";"Kevin Henderson";"admitted to clinic for emotional problems"
"1988-05-13";"Sonics";"Xavier McDaniel";"arthroscopic surgery on right knee to repair small tear"
"1988-05-27";"Nuggets";"Lafayette Lever / Fat Lever";"arthroscopic surgery on right knee"
"1988-07-07";"Mavericks";"Detlef Schrempf";"surgery on left ankle to repair stress fracture"
"1988-07-12";"Pistons";"Rick Mahorn";"surgery to remove ruptured disc (out 10-12 weeks)"
"1988-07-25";"Bulls";"Scottie Pippen";"surgery on back to remove herniated disc"
"1988-08-03";"Heat";"John Stroeder";"infected right big toe (DTD)"
"1988-08-18";"Jazz";"Bart Kofoed";"surgery on foot to repair stress fracture"
"1988-08-27";"Suns";"Dean Garrett";"fractured right foot (out 10-12 weeks)"
"1988-09-01";"Hawks";"Kevin Willis";"broken left foot (out for season) (date approximate)"
"1988-10-05";"Nets";"Dennis Hopson";"sprained ankle (out indefintely)"
"1988-10-07";"Hornets";"Dell Curry";"fractured left wrist (out 12+ weeks)"
"1988-10-10";"Nuggets";"Maurice Martin";"reconstructive surgery on right knee (out ~6-7 months)"
"1988-10-21";"Jazz";"Bobby Hansen";"broken left hand (out indefinitely)"
"1988-10-25";"76ers";"Maurice Cheeks";"pulled groin (out indefinitely)"
"1988-10-30";"Bucks";"Jeff Grayer";"chicken pox (out ~3 weeks)"
"1988-10-31";"Pacers";"Steve Stipanovich";"arthroscopic surgery on left knee (out 6+ weeks)"
"1988-11-01";"Nuggets";"Bill Hanzlik";"recurring back injury (out ~2 weeks)"
"1988-11-12";"Spurs";"Petur Gudmundsson";"sugery on knee (out 6-8 weeks) (date approximate)"
"1988-12-15";"Suns";"Dean Garrett";"re-injured right foot"
"1988-12-26";"Blazers";"Craig Neal";"injuries suffered in car accident (DTD)"
"1988-12-29";"Suns";"Dean Garrett";"surgery on fractured right foot"
"1989-01-01";"Clippers";"Danny Manning";"torn ACL in right knee (out indefinitely) (date approximate)"
"1989-01-04";"76ers";"Cliff Robinson";"arthroscopic surgery on knee (date approximate)"
"1989-01-11";"Pistons";"Joe Dumars";"broken middle finger on left hand (out indefinitely)"
"1989-01-22";"Nuggets";"Jerome Lane";"sprained ankle (DTD)"
"1989-03-11";"Nuggets";"Lafayette Lever / Fat Lever";"sore left knee (DTD)"
"1989-03-20";"Blazers";"Steve Johnson";"tendinitis in both knees (DTD)"
"1989-03-21";"Blazers";"Sam Bowie";"injured right ankle (DNP)"
"1989-03-28";"Celtics";"Jim Paxson Jr.";"surgery on right wrist (out for season) (date approximate)"
"1989-05-14";"Bucks";"Larry Krystkowiak";"torn ACL in knee (out for season)"
"1989-05-14";"Warriors";"Otis Smith";"scratched & bruised left eye (DTD)"
"1989-05-14";"Warriors";"Terry Teagle";"bruised left knee (DTD)"
"1989-05-31";"Knicks";"Patrick Ewing Sr.";"arthroscopic surgery on right knee (out indefinitely)"
"1989-06-27";"Cavaliers";"Larry Nance";"surgery on left ankle to repair frayed tendon (out ~6 months)"
"1989-10-23";"Bullets";"Tracy Moore";"stomach virus (DTD)"
"1989-10-29";"Bucks";"Greg Anderson / Cadillac Anderson";"surgery on knee to repair torn cartilage (out 4-6 weeks)"
"1989-11-08";"Magic";"Dave Corzine";"torn ACL in knee (out indefinitely)"
"1989-11-24";"Cavaliers";"Wayne Rollins / Tree Rollins";"sprained left knee (DTD)"
"1990-01-13";"Mavericks";"Sam Perkins";"flu (DNP)"
"1990-01-13";"Sonics";"Dale Ellis";"three fractured ribs and a collapsed lung (suffered in car accident)"
"1990-01-16";"Clippers";"Ron Harper";"torn ACL in knee (out indefinitely)"
"1990-02-01";"Clippers";"Tom Garrick";"left knee tendinitis (DTD)"
"1990-02-03";"Mavericks";"Adrian Dantley";"broken right leg (out indefinitely)"
"1990-02-03";"Nets";"Roy Hinson";"knee injury (out for season)"
"1990-02-05";"Clippers";"Tom Garrick";"returned to lineup"
"1990-10-05";"Lakers";"Tony Smith (b)";"failed physical (irregularity in the results of his stress test) (date approximate)"
"1990-10-08";"Nuggets";"Bill Hanzlik";"recovery from surgery on back to repair herniated disk (out for season)"
"1990-10-09";"Lakers";"Tony Smith (b)";"returned to lineup (passed second physical)"
"1990-10-15";"Nets";"Dan Godfread";"foot injury (DTD)"
"1990-10-16";"Celtics";"Dee Brown (a)";"infected bit toe (DTD)"
"1990-11-08";"76ers";"Johnny Dawkins";"torn ACL in right knee (out indefinitely)"
"1990-11-09";"Mavericks";"Roy Tarpley";"torn ACL in knee (out indefinitely)"
"1990-11-12";"Mavericks";"Roy Tarpley";"surgery on knee to repair torn ACL (date approximate)"
"1990-11-16";"76ers";"Johnny Dawkins";"surgery on right knee to repair torn ACL (date approximate)"
"1990-11-16";"Warriors";"Mitch Richmond";"fractured thumb (out indefinitely)"
"1990-11-30";"Cavaliers";"Mark Price";"torn ACL in knee (out indefinitely)"
"1990-12-08";"Knicks";"Kiki Vandeweghe";"bruised right thigh (DTD)"
"1990-12-21";"Nuggets";"Orlando Woolridge";"surgery on right eye to repair detached retina (out indefinitely)"
"1990-12-22";"Nuggets";"Orlando Woolridge";"surgery on right eye to repair detached retina"
"1990-12-26";"Nets";"Derrick Coleman";"knee injury (DTD)"
"1991-01-04";"Rockets";"Hakeem Olajuwon";"fractured right orbit bone (out 4+ weeks)"
"1991-01-14";"76ers";"Charles Barkley";"foot injury and hairline fracture in left ankle (DTD)"
"1991-01-14";"Rockets";"Hakeem Olajuwon";"surgery on right eye (out indefinitely)"
"1991-01-28";"Hawks";"Dominique Wilkins";"ruptured Achilled tendon (out for season)"
"1991-01-31";"Pistons";"Isiah Thomas";"surgery on right wrist (out indefinitely)"
"1991-02-06";"Celtics";"Larry Bird";"back injury (DNP)"
"1991-02-13";"Hawks";"Rumeal Robinson";"small tear in lateral meniscus in right knee (DTD)"
"1991-02-13";"Heat";"Jon Sundvold";"pneumonia and sinusitis (out 2+ weeks)"
"1991-03-28";"Clippers";"Gary Grant";"arthroscopic surgery on right knee"
"1991-04-02";"Rockets";"Kenny Smith";"sprained foot (DTD)"
"1991-04-17";"Nuggets";"Chris Jackson / Mahmoud Abdul-Rauf";"surgery on feet to remove extra bones"
"1991-04-17";"Nuggets";"Michael Adams";"cold and stiff neck (DTD)"
"1991-05-09";"Bucks";"Brad Lohaus";"arthroscopic surgery on left knee to repair torn cartilage"
"1991-07-01";"Cavaliers";"Danny Ferry";"surgery on right knee to repair small tear in cartilage"
"1991-07-09";"Celtics";"Derek Smith";"arthroscopic surgery on left knee to remove small piece of cartilage"
"1991-10-01";"Celtics";"Kevin McHale";"recovering from surgery on ankle (date approximate)"
"1991-10-07";"Celtics";"Kennard Winchester";"pulled groin (DTD)"
"1991-10-09";"Celtics";"Kennard Winchester";"returned to lineup"
"1991-10-29";"Celtics";"Dee Brown (a)";"torn cartilage in left knee"
"1991-10-29";"Sonics";"Shawn Kemp";"sprained ankle (DTD)"
"1991-10-30";"Celtics";"Dee Brown (a)";"arthroscopic surgery on left knee to repair torn cartilage"
"1991-10-30";"Pacers";"George McCloud";"surgery on right thumb to repair torn ligament (out ~6 weeks)"
"1991-11-08";"Bulls";"Craig Hodges";"surgery on left knee to repair torn cartilage"
"1991-11-12";"Hawks";"Travis Mays";"surgery on right ankle to repair two ruptured tendons (out indefinitely)"
"1991-12-05";"Mavericks";"Lafayette Lever / Fat Lever";"left knee injury (DTD)"
"1991-12-26";"Mavericks";"Lafayette Lever / Fat Lever";"returned to lineup"
"1992-01-28";"Hawks";"Dominique Wilkins";"ruptured right Achilles tendon (out for season)"
"1992-01-29";"Mavericks";"Lafayette Lever / Fat Lever";"arthroscopic surgery on left knee (out for season)"
"1992-01-30";"Hawks";"Dominique Wilkins";"surgery to repair ruptured right Achilles tendon (out for season)"
"1992-02-18";"Nuggets";"Anthony Cook";"dislocated shoulder (out indefinitely)"
"1992-02-19";"Nuggets";"Anthony Cook";"surgery to repair dislocated shoulder (date approximate)"
"1992-04-08";"Heat";"Willie Burton";"player entered a medical facility for treatment of depression (out for season)"
"1992-07-01";"Spurs";"Terry Cummings";"torn ACL in knee (out indefinitely) (date approximate)"
"1992-08-30";"Rockets";"Dave Jamerson";"torn ACL in left knee"
"1992-08-31";"Bulls";"Scottie Pippen";"surgery on right ankle and left wrist to remove scar tissue"
"1992-09-17";"Blazers";"Clyde Drexler";"arthroscopic surgery on right knee to clean out loose cartilage"
"1992-10-16";"Nuggets";"Anthony Cook";"ruptured patella tendon in right knee (out for season)"
"1992-10-21";"Blazers";"Dave Johnson";"sprained right foot (DTD)"
"1992-10-30";"Hawks";"Stacey Augmon";"surgery on left knee to remove bone chips (out indefinitely)"
"1992-10-30";"Rockets";"Dave Jamerson";"surgery on left knee to repair torn ACL"
"1992-11-13";"Hawks";"Stacey Augmon";"returned to lineup"
"1992-12-15";"Hawks";"Dominique Wilkins";"broken fourth finger on right hand (out indefinitely)"
"1993-02-23";"Cavaliers";"Mike Sanders";"arthroscopic surgery on left knee to repair torn cartilage"
"1993-03-23";"Nets";"Drazen Petrovic";"sprained MCL in left knee (out indefinitely)"
"1993-03-25";"Bulls";"Jerry Krause";"GM hospitalized with chest pains"
"1993-04-06";"Cavaliers";"Jerome Lane";"shoulder injury (DNP)"
"1993-04-08";"Cavaliers";"Jerome Lane";"shoulder injury (DNP)"
"1993-04-22";"Cavaliers";"Larry Nance";"broken left index finger (DTD)"
"1993-04-22";"Rockets";"Vernon Maxwell";"broken wrist (DTD)"
"1993-07-01";"Celtics";"John Bagley";"arthroscopic surgery on right knee to repair torn cartilage (out for season)"
"1993-09-01";"Warriors";"Sarunas Marciulionis";"torn ACL in knee (out indefinitely) (date approximate)"
"1993-10-01";"Warriors";"Tim Hardaway Sr.";"torn ACL in knee (out indefinitely) (date approximate)"
"1993-12-01";"Knicks";"Glenn Rivers / Doc Rivers";"torn ACL in knee (out indefinitely) (date approximate)"
"1994-01-10";"Lakers";"Antonio Harvey";"strained left hip muscle (out indefinitely)"
"1994-01-12";"Pacers";"Vern Fleming";"pulled right hamstring (DNP) (date approximate)"
"1994-01-14";"Bulls";"Toni Kukoc";"ankle injury (DNP)"
"1994-01-14";"Pacers";"Vern Fleming";"pulled right hamstring (DNP) (date approximate)"
"1994-01-18";"Hornets";"Joe Wolf";"hyperextended right knee"
"1994-02-05";"Mavericks";"Terry Davis";"surgery to remove scar tissue, calcium deposits, and wiring from left elbow"
"1994-02-18";"76ers";"Shawn Bradley";"dislocated kneecap (DTD)"
"1994-02-20";"Bullets";"Kenny Walker";"shattered cheekbone in eight pieces"
"1994-02-22";"76ers";"Shawn Bradley";"dislocated kneecap and slight bone chip in left knee (out for season)"
"1994-02-22";"76ers";"Shawn Bradley";"underwent surgery on left knee to remove a bone chip"
"1994-07-06";"Knicks";"Patrick Ewing Sr.";"arthroscopic surgery on knee (out 6-8 weeks)"
"1994-08-16";"Bullets";"Brent Price";"surgery on knee to repair torn ACL (out for season)"
"1994-08-24";"Cavaliers";"John Battle";"surgery on left knee to remove loose cartilage (out 4-6 weeks)"
"1994-08-24";"Lakers";"Doug Christie";"surgery on left ankle to remove calcium deposits (out 8-12 weeks)"
"1994-09-15";"Nuggets";"LaPhonso Ellis";"stress fracture in right kneecap (out 8 weeks)"
"1994-09-16";"Mavericks";"";"had fingernail ripped off finger of left hand"
"1994-10-03";"Cavaliers";"Brad Daugherty";"back problems"
"1994-10-04";"Rockets";"Hakeem Olajuwon";"injury to sinus cavity (out 10 days)"
"1994-10-07";"Magic";"Shaquille O'Neal";"sprained right big toe (out 1 week)"
"1994-10-11";"Hornets";"Alonzo Mourning";"strained tendon in right big toe (out 2 weeks)"
"1994-10-11";"Magic";"Shaquille O'Neal";"returned to practice"
"1994-10-13";"Hornets";"Tony Bennett";"ankle problems"
"1994-10-14";"Kings";"Lionel Simmons";"arthroscopic surgery on right knee"
"1994-10-18";"76ers";"Shawn Bradley";"injured left knee"
"1994-10-18";"Cavaliers";"Gerald Wilkins";"torn Achilles tendon"
"1994-10-19";"Hornets";"Larry Johnson (Demetric)";"sprained ankle"
"1994-10-20";"76ers";"Scott Williams";"sore back (out for rest of pre-season)"
"1994-10-20";"76ers";"Shawn Bradley";"sprained ligament in left knee (out 6-8 weeks)"
"1994-10-21";"Cavaliers";"Gerald Wilkins";"surgery to repair torn Achilles tendon"
"1994-10-23";"Bucks";"Eric Murdock";"poked in eye (out 4-6 weeks)"
"1994-10-24";"Hornets";"Tom Tolbert";"foot injury (out 2 months)"
"1994-10-25";"Blazers";"Terry Porter (b)";"will have surgery on right ankle (out at least 4 weeks)"
"1994-10-25";"Clippers";"Stanley Roberts";"ruptured left Achilles tendon"
"1994-10-25";"Hawks";"Craig Ehlo";"will have surgery on right knee (out 3-4 weeks)"
"1994-10-26";"Warriors";"Chris Mullin";"sprained left knee"
"1994-10-27";"Clippers";"Stanley Roberts";"ruptured left Achilles tendon (out for season)"
"1994-10-27";"Warriors";"Billy Owens";"strained left hamstring (out 2 weeks)"
"1994-11-02";"Knicks";"Anthony Bonner";"surgery on knee (out indefinitely)"
"1994-11-02";"Suns";"Charles Barkley";"strained lower abdominal wall"
"1994-11-02";"Suns";"Charles Barkley";"irritated eyes (DTD)"
"1994-11-03";"Hornets";"Alonzo Mourning";"strained tendon in toe (DTD)"
"1994-11-03";"Nuggets";"LaPhonso Ellis";"surgery on right knee (out for season) (per Stats)"
"1994-11-03";"Suns";"Charles Barkley";"burned cornea (DTD)"
"1994-11-04";"Bullets";"Don MacLean";"blistered foot (DNP)"
"1994-11-04";"Bulls";"Luc Longley";"sprained left ankle (DNP)"
"1994-11-04";"Celtics";"Sherman Douglas";"strained knee ligament"
"1994-11-04";"Heat";"Billy Owens";"strained left hamstring (DTD)"
"1994-11-04";"Nuggets";"Mahmoud Abdul-Rauf / Chris Jackson";"strained hamstring (DNP)"
"1994-11-05";"Nuggets";"Brian Williams / Bison Dele";"fractured ankle (DTD)"
"1994-11-05";"Rockets";"Kenny Smith";"flu (DNP)"
"1994-11-07";"Celtics";"Sherman Douglas";"sprained MCL in left knee (out 4-8 weeks)"
"1994-11-07";"Celtics";"Xavier McDaniel";"strained left hamstring"
"1994-11-08";"Clippers";"Greg Grant";"complications from September arthroscopic surgery"
"1994-11-08";"Nuggets";"Brian Williams / Bison Dele";"stress fracture in left ankle (out 2 weeks)"
"1994-11-09";"Timberwolves";"Micheal Williams";"injured left heel (out 6-8 weeks)"
"1994-11-09";"Warriors";"Carlos Rogers";"sprained right ankle (out 7-10 days)"
"1994-11-11";"Bulls";"Luc Longley";"stress fracture in left leg"
"1994-11-11";"Suns";"Kevin Johnson";"sprained rib cage muscle (DTD)"
"1994-11-12";"Hornets";"Michael Adams";"pulled hamstring"
"1994-11-12";"Nuggets";"Rodney Rogers";"injured big toe (DNP)"
"1994-11-12";"Suns";"Danny Ainge";"flu (DNP)"
"1994-11-14";"Jazz";"Jeff Hornacek";"sore left knee (DNP)"
"1994-11-14";"Jazz";"John Crotty";"sprained left ankle (DNP)"
"1994-11-15";"76ers";"Sharone Wright";"sprained left ankle (DTD)"
"1994-11-15";"Bulls";"Larry Krystkowiak";"arthroscopic surgery on right knee (out 2-3 weeks)"
"1994-11-15";"Nuggets";"Mahmoud Abdul-Rauf / Chris Jackson";"strained right hip (DNP)"
"1994-11-15";"Warriors";"Ricky Pierce";"stomach virus (DNP)"
"1994-11-16";"Heat";"Matt Geiger";"ruptured eardrum"
"1994-11-16";"Hornets";"Kenny Gattison";"cervical spine sprain (DTD)"
"1994-11-17";"Hornets";"Scott Burrell";"strained left arch"
"1994-11-17";"Kings";"Bobby Hurley";"sprained left ankle (DNP)"
"1994-11-17";"Mavericks";"Tony Dumas";"sprained left anke (DNP)"
"1994-11-17";"Nuggets";"Mahmoud Abdul-Rauf / Chris Jackson";"strained right hip (DNP)"
"1994-11-18";"Celtics";"Rick Fox";"DNP strained right hip"
